@relation '212695L1 2-weka.filters.unsupervised.attribute.Remove-R1'

@attribute 'rodzaj ?r�d?a dochodu' numeric
@attribute 'miesieczny dochod netto' string
@attribute 'ktore rolowanie' numeric
@attribute 'kwota kredytu' string
@attribute wiek numeric
@attribute plec {K,M}
@attribute 'okres w jakim pobieral dochod' numeric
@attribute 'okres w jakim b?dzie pobiera? doch�d' numeric
@attribute 'op�?nienie sp?aty' numeric

@data
13,1107,0,'200,56',60,K,16,48,0
13,'1772,53',2,300,71,M,282,48,0
11,'980,11',2,400,34,K,46,48,0
13,3040,1,'622,85',65,M,202,48,0
16,1235,0,300,70,K,35,48,0
15,'1100,79',0,300,62,M,92,48,0
13,1162,5,200,62,M,222,48,0
13,1635,5,200,60,K,121,48,0
13,917,3,300,63,K,78,48,0
13,1019,0,300,68,K,134,48,0
16,1411,2,400,60,K,68,48,0
98,1200,5,'284,19',38,K,47,48,0
12,1800,0,300,29,M,5,7,0
16,1500,0,300,54,K,3,48,0
13,2120,0,800,68,K,120,48,0
11,'1738,57',0,300,43,K,59,48,0
12,1030,0,300,51,M,11,48,1968
11,2800,5,300,54,K,61,48,0
11,2050,0,530,32,M,119,48,0
13,1000,2,300,70,K,66,48,0
11,'2284,23',0,200,43,M,301,48,0
13,2031,0,400,58,M,160,48,1966
13,1700,0,200,72,M,16,48,0
98,4293,0,400,51,M,179,48,0
11,3641,0,200,53,K,145,48,0
13,714,6,'399,72',62,K,224,48,0
13,1000,0,250,75,K,213,48,0
13,'1013,74',5,460,65,K,115,48,0
13,840,3,400,64,K,115,48,0
13,1530,0,800,57,K,26,48,0
11,2470,2,'495,15',38,M,68,48,0
11,2500,1,500,49,K,235,48,0
12,'1048,27',0,200,39,K,5,20,0
16,'1313,41',5,200,62,M,29,48,0
16,837,4,350,61,M,233,48,0
11,1500,4,400,58,K,87,48,0
11,3300,2,300,44,M,238,48,0
13,960,5,'315,49',73,M,141,48,0
11,2700,5,'423,23',31,M,17,48,0
12,'1574,45',4,'365,96',47,M,33,36,0
17,'547,89',2,350,56,K,58,48,1964
13,1027,1,300,68,K,194,48,0
11,2050,1,'799,85',33,K,30,48,1964
13,'1817,24',4,400,57,K,20,48,0
16,980,5,'407,31',68,K,132,48,0
11,3200,5,'593,94',52,M,191,48,0
11,2200,0,300,33,K,12,48,0
12,1675,5,550,54,K,11,12,0
16,1389,0,300,63,K,93,48,0
17,684,5,900,58,K,191,48,0
11,'1460,17',2,200,55,M,63,48,0
13,930,2,670,63,K,95,48,0
12,1100,5,'235,97',65,M,24,36,0
13,'729,03',6,450,70,K,259,48,0
13,930,6,700,65,K,132,48,0
13,975,5,200,61,K,29,48,0
12,600,6,'399,72',47,M,11,28,0
11,1320,5,500,53,M,344,48,0
13,1170,4,'389,72',61,K,80,48,0
12,'1032,34',5,200,31,K,6,12,0
16,'959,6',5,200,69,K,117,48,0
13,'720,19',3,200,67,K,95,48,0
13,1212,5,500,60,K,55,48,0
16,1740,2,200,53,K,115,48,0
11,1900,1,'693,7',38,K,209,48,0
13,'1474,55',4,400,62,K,67,48,0
13,1213,0,400,53,K,51,48,0
16,'1045,6',6,'339,72',54,K,14,48,0
11,1800,5,300,33,M,167,48,0
12,1027,5,300,39,K,10,48,0
11,2000,0,400,59,M,71,48,0
13,997,5,200,61,K,81,48,0
12,1350,5,200,55,K,24,25,0
13,1189,5,'265,58',62,K,71,48,0
13,2000,0,'563,44',68,M,46,48,0
13,1362,5,500,61,K,58,48,0
12,1500,2,800,35,M,35,36,0
11,2105,0,500,44,K,25,48,1959
16,1132,2,300,64,K,99,48,0
13,'1295,37',1,300,71,M,309,48,0
13,936,3,300,60,K,33,48,0
11,'1888,27',0,'375,81',29,M,79,48,0
11,1290,5,600,32,K,21,48,0
11,2470,6,'426,61',49,K,356,48,0
13,616,5,200,75,K,248,48,0
11,2800,5,600,49,K,320,48,0
13,640,2,500,72,K,140,48,0
13,'1137,19',5,400,66,K,98,48,0
11,'1172,2',5,200,56,K,39,48,0
13,951,5,500,73,K,164,48,0
98,3014,0,500,42,M,104,48,0
13,3900,6,300,49,M,32,48,0
13,1800,0,450,69,K,119,48,0
17,'864,6',1,250,54,K,4,8,0
12,1200,5,300,35,K,10,15,0
12,660,5,'441,27',40,K,13,38,0
12,1050,4,'283,31',52,K,35,36,0
11,1400,0,400,51,M,40,48,0
13,1559,0,250,65,M,73,48,0
12,'952,89',1,300,21,M,24,27,0
11,'1261,98',5,'357,31',40,M,38,48,0
13,1200,5,500,70,K,121,48,0
11,2927,4,'412,88',38,K,203,48,0
13,1350,4,'242,28',65,K,113,48,0
13,611,4,300,57,K,141,48,0
13,730,4,200,72,K,562,48,0
13,1026,6,200,74,K,249,48,0
11,4000,6,400,53,M,12,48,0
13,1130,5,300,62,K,105,48,0
16,1589,1,400,58,K,29,48,0
11,1300,0,600,54,K,70,48,0
11,1443,0,600,43,K,35,48,0
11,'1842,86',4,400,56,M,9,48,0
98,1357,0,500,48,K,3,48,0
12,1000,6,200,24,M,14,25,0
11,2000,0,600,46,M,53,48,0
13,'1090,14',5,400,61,K,77,48,0
12,5000,0,500,33,M,7,27,1957
11,1680,5,300,57,K,387,48,0
11,1700,5,300,54,M,41,48,1957
12,1000,3,300,50,M,45,48,0
13,1210,1,305,65,K,140,48,1957
11,1590,0,400,29,M,55,48,0
13,1240,2,300,58,K,72,48,0
12,2500,4,800,57,M,6,11,0
13,1700,5,500,72,M,16,48,0
11,'1286,16',2,300,42,K,119,48,0
13,1000,5,500,60,K,70,48,0
13,'1291,18',6,'378,91',70,K,81,48,0
12,1700,6,400,54,K,56,48,0
11,'1348,95',0,350,73,K,115,48,0
17,985,6,200,20,M,15,18,0
